ticker,cik,q_end,rev_q,rev_filed,rev_prev,rev_yoy,op_margin_q,op_margin_delta_yoy,employees,employees_asof,op_margin_delta_qoq,rev_growth_qoq,rev_growth_yoy
MMM,0000066740,2026-03-31,6030000000.0,2026-04-21,,5954000000.0,0.2316749585406302,0.022403880273918736,,,,,0.012764528048370805
AOS,0000091142,2026-03-31,945600000.0,2026-04-30,,963900000.0,0.1711082910321489,-0.019782880251179247,,,,,-0.018985371926548367
AES,0000874761,2026-03-31,3180000000.0,2026-05-05,,2926000000.0,,,,,,,0.086807928913192
AMD,0000002488,2026-03-28,10253000000.0,2026-05-06,,7438000000.0,0.14395786599044183,0.035595402962746214,,,,,0.3784619521376713
APA,0001841666,,,,,,,,,,,,
T,0000732717,2026-03-31,31506000000.0,2026-04-27,,30626000000.0,0.2113248270170761,0.023445247574772177,133030.0,2025-12-31,,,0.02873375563246916
ABBV,0001551152,,,,,,,,,,,,
ABT,0000001800,2026-03-31,11164000000.0,2026-04-29,,10358000000.0,0.12047653170906485,-0.04297201048054704,,,,,0.07781424985518437
ACN,0001467373,2026-02-28,18044066000.0,2026-03-19,18742125000.0,16659301000.0,0.1381920793240282,0.003449691273052946,,,-0.015136211891615708,-0.03724545642503185,0.08312263521740793
ADBE,0000796343,2026-02-27,6398000000.0,2026-03-25,,5714000000.0,0.3779306033135355,-0.0006133238828243126,,,,,0.11970598529926502
AFL,0000004977,2026-03-31,4346000000.0,2026-05-06,,3398000000.0,,,,,,,0.2789876397881106
A,0001090872,2026-01-31,1798000000.0,2026-03-03,,1681000000.0,0.19632925472747498,-0.027347128377819496,,,,,0.06960142772159439
APD,0000002969,2026-03-31,3171800000.0,2026-04-30,3102500000.0,2916200000.0,0.2373100447695315,1.0356092012059899,,,0.0005654839314976345,0.022336825141015204,0.08764830944379676
ABNB,0001559720,2026-03-31,2678000000.0,2026-05-07,,2272000000.0,0.03211351755041075,0.015388165437734698,,,,,0.1786971830985915
AKAM,0001086222,,,,,,,,,,,,
ALB,0000915913,2026-03-31,1428731000.0,2026-05-06,,1076881000.0,0.1634359442050323,0.1450857272358407,,,,,0.32673062297505484
ACI,0001646972,,,,,,,,270000.0,2020-02-29,,,
ARE,0001035443,2026-03-31,671022000.0,2026-04-27,,758158000.0,,,,,,,-0.11493118848577732
ALGN,0001097149,2026-03-31,1040087000.0,2026-05-06,,979262000.0,0.13648377491498306,0.002607447639953492,,,,,0.06211310149888383
ALLE,0001579241,2026-03-31,1033600000.0,2026-04-28,,941900000.0,0.18895123839009287,-0.01956346593096031,,,,,0.0973564072619173
LNT,0000352541,2026-03-31,1184000000.0,2026-05-01,,1128000000.0,0.21030405405405406,-0.017532825378570066,,,,,0.049645390070921946
ALL,0000899051,2026-03-31,16941000000.0,2026-04-29,17345000000.0,16452000000.0,,,,,,-0.023292014989910625,0.02972283005105769
GOOGL,0001652044,,,,,,,,,,,,
MO,0000764180,2026-03-31,5428000000.0,2026-04-30,,5259000000.0,0.5445836403831983,0.20459504939631867,,,,,0.03213538695569507
AMZN,0001018724,2026-03-31,181519000000.0,2026-04-30,,155667000000.0,0.13140222235688825,0.013169070821880832,,,,,0.16607244952366274
AMCR,0001748790,2026-03-31,5914000000.0,2026-05-07,5449000000.0,3333000000.0,0.0779506256340886,-0.015958765305005312,36000.0,2024-09-28,0.017205534791732202,0.08533675903835558,0.7743774377437744
AEE,0001002910,2026-03-31,2176000000.0,2026-05-08,,2097000000.0,0.24448529411764705,0.039430453869673754,,,,,0.03767286599904618
AEP,0000004904,2026-03-31,5921000000.0,2026-05-05,,5631600000.0,0.22969093058604964,0.0016562690333825347,,,,,0.05138859293983944
AXP,0000004962,2026-03-31,10517000000.0,2026-04-23,,9626000000.0,,,,,,,0.09256181175981726
AIG,0000005272,2026-03-31,6650000000.0,2026-05-01,,6783000000.0,,,,,,,-0.019607843137254943
AMT,0001053507,2026-03-31,216100000.0,2026-04-28,,226000000.0,5.734382230448866,0.18526718620107907,,,,,-0.04380530973451324
AWK,0001410636,2026-03-31,1203000000.0,2026-04-29,,1134000000.0,0.3250207813798836,-0.002139712447276898,,,,,0.060846560846560926
AMP,0000820027,,,,,,,,,,,,
AME,0001037868,2026-03-31,1928437000.0,2026-04-30,,1731971000.0,0.2670224643065861,0.004414718564884901,,,,,0.11343492471871652
AMGN,0000318154,2026-03-31,8618000000.0,2026-05-01,,8149000000.0,0.30935251798561153,0.16479490355439297,,,,,0.057553073996809534
APH,0000820313,2026-03-31,7620100000.0,2026-05-01,,4811000000.0,0.24039054605582605,0.027378698207145946,,,,,0.5838910829349409
ADI,0000006281,2026-01-31,3160263000.0,2026-02-18,,2423174000.0,0.31548829954975266,0.11273232742393752,,,,,0.3041832736732897
AON,0000315293,2026-03-31,5034000000.0,2026-05-01,,4729000000.0,0.3406833531982519,0.031738544570635074,,,,,0.06449566504546422
APO,0001858681,2026-03-31,5059000000.0,2026-05-07,,5548000000.0,,,,,,,-0.088139870223504
AAPL,0000320193,2026-03-28,111184000000.0,2026-05-01,143756000000.0,95359000000.0,0.32275327385235286,0.01246268775140802,,,-0.030985004897751467,-0.2265783689028632,0.16595182415922993
AMAT,0000006951,2026-01-25,7012000000.0,2026-02-19,,7166000000.0,0.26112378779235595,-0.04239281840356923,,,,,-0.021490371197320668
APTV,0001521332,2026-03-31,5086000000.0,2026-05-05,,4825000000.0,0.07432166732206055,-0.018528073610581938,,,,,0.05409326424870464
ACGL,0000947484,2026-03-31,4521000000.0,2026-05-05,,4673000000.0,,,,,,,-0.03252728439974317
ADM,0000007084,2026-03-31,6139000000.0,2026-05-05,,6146000000.0,,,,,,,-0.001138952164009166
ANET,0001596532,2026-03-31,2709000000.0,2026-05-06,,2004800000.0,0.42739018087855296,-0.0009817265436337652,,,,,0.3512569832402235
AJG,0000354190,2026-03-31,4758000000.0,2026-05-07,,3727400000.0,,,706000.0,2012-03-31,,,0.2764929978000752
AIZ,0001267238,2026-03-31,3420100000.0,2026-05-07,,3074000000.0,,,,,,,0.11258945998698766
ATO,0000731802,2026-03-31,1962402000.0,2026-05-06,1342585000.0,1950502000.0,0.3897285061878249,0.06727869583131157,,,0.0063159103372828485,0.4616594107635643,0.00610099348783022
AZO,0000866787,2026-02-14,4274098000.0,2026-03-20,4628630000.0,3952012000.0,0.16341600028824796,-0.015421260327357467,,,-0.006008861928001763,-0.07659545048966976,0.08149924645977791
ADSK,0000769397,2026-04-30,1934000000.0,2026-05-29,,1633000000.0,0.2797311271975181,0.1370489471607759,,,,,0.18432333129210043
ADP,0000008670,2026-03-31,5939200000.0,2026-04-30,5359300000.0,5553000000.0,,,,,,0.10820442968298094,0.06954799207635509
AVB,0000915912,2026-03-31,1833000.0,2026-05-07,,1742000.0,282.3202400436443,-10.782515409857467,,,,,0.052238805970149294
AVY,0000008818,2026-03-31,2298500000.0,2026-05-05,,2148300000.0,,,,,,,0.0699157473351022
AXON,0001069183,2026-03-31,807345000.0,2026-05-07,,603633000.0,0.036221194161108326,0.05078799219898896,,,,,0.33747657931226427
BJ,0001531152,2026-05-02,5661500000.0,2026-05-28,,5153483000.0,0.03672401307074097,-0.002791980287537306,,,,,0.09857740871562015
BNY,0001390777,,,,,,,,,,,,
BXP,0001037540,2026-03-31,872148000.0,2026-05-07,,865215000.0,,,,,,,0.008013037221962227
