ticker,company,snapshot,n_results,n_matched,n_ai_builder,n_ai_user,n_ai_leader,builder_rate,ai_rate
A,Agilent Technologies,2026-06,51,4,1,1,1,0.25,0.75
AAPL,Apple Inc.,2026-06,58,12,11,0,1,0.9166666666666666,1.0
ABBV,AbbVie,2026-06,54,51,16,5,8,0.3137254901960784,0.5686274509803921
ABNB,Airbnb,2026-06,50,42,33,0,4,0.7857142857142857,0.8809523809523809
ABT,Abbott Laboratories,2026-06,55,20,3,0,0,0.15,0.15
ACGL,Arch Capital Group,2026-06,25,13,4,0,2,0.3076923076923077,0.46153846153846156
ACI,Albertsons,2026-06,25,1,0,0,0,0.0,0.0
ACN,Accenture,2026-06,25,15,10,1,2,0.6666666666666666,0.8666666666666667
ADBE,Adobe Inc.,2026-06,25,17,11,0,4,0.6470588235294118,0.8823529411764706
ADI,Analog Devices,2026-06,25,3,0,0,0,0.0,0.0
ADM,Archer Daniels Midland,2026-06,25,1,0,0,0,0.0,0.0
ADP,Automatic Data Processing,2026-06,25,2,0,0,1,0.0,0.5
ADSK,Autodesk,2026-06,25,24,15,2,3,0.625,0.8333333333333334
AEE,Ameren,2026-06,25,3,0,0,0,0.0,0.0
AEP,American Electric Power,2026-06,25,1,1,0,0,1.0,1.0
AES,AES Corporation,2026-06,25,7,0,1,1,0.0,0.2857142857142857
AFL,Aflac,2026-06,25,9,1,0,1,0.1111111111111111,0.2222222222222222
AIG,American International Group,2026-06,25,2,0,0,1,0.0,0.5
AIZ,Assurant,2026-06,25,2,2,0,0,1.0,1.0
AJG,Arthur J. Gallagher & Co.,2026-06,25,2,0,0,0,0.0,0.0
AKAM,Akamai Technologies,2026-06,25,25,11,1,5,0.44,0.68
ALB,Albemarle Corporation,2026-06,25,2,0,0,0,0.0,0.0
ALGN,Align Technology,2026-06,25,1,0,0,0,0.0,0.0
ALL,Allstate,2026-06,25,19,8,3,3,0.42105263157894735,0.7368421052631579
ALLE,Allegion,2026-06,25,7,0,0,0,0.0,0.0
AMAT,Applied Materials,2026-06,25,7,2,2,0,0.2857142857142857,0.5714285714285714
AMCR,Amcor,2026-06,25,6,1,0,0,0.16666666666666666,0.16666666666666666
AMD,AMD,2026-06,25,12,3,2,1,0.25,0.5
AME,Ametek,2026-06,25,4,0,0,0,0.0,0.0
AMGN,Amgen,2026-06,25,25,14,3,7,0.56,0.96
AMP,Ameriprise Financial,2026-06,25,1,1,0,0,1.0,1.0
AMT,American Tower,2026-06,25,1,0,0,0,0.0,0.0
AMZN,Amazon,2026-06,25,19,15,1,1,0.7894736842105263,0.8947368421052632
ANET,Arista Networks,2026-06,25,11,0,0,0,0.0,0.0
AON,Aon plc,2026-06,25,3,0,0,0,0.0,0.0
AOS,A. O. Smith,2026-06,25,1,0,0,0,0.0,0.0
APA,APA Corporation,2026-06,25,0,0,0,0,,
APD,Air Products,2026-06,25,3,0,0,0,0.0,0.0
APH,Amphenol,2026-06,25,3,0,0,0,0.0,0.0
APO,Apollo Global Management,2026-06,25,6,1,0,2,0.16666666666666666,0.5
APP,AppLovin,2026-06,25,2,1,0,0,0.5,0.5
APTV,Aptiv,2026-06,25,4,2,1,0,0.5,0.75
ARE,Alexandria Real Estate Equities,2026-06,25,0,0,0,0,,
ARES,Ares Management,2026-06,25,10,0,1,1,0.0,0.2
ATO,Atmos Energy,2026-06,25,0,0,0,0,,
AVB,AvalonBay Communities,2026-06,25,1,0,0,0,0.0,0.0
AVGO,Broadcom,2026-06,25,3,0,1,1,0.0,0.6666666666666666
AVY,Avery Dennison,2026-06,25,5,0,0,0,0.0,0.0
AWK,American Water Works,2026-06,25,2,0,0,0,0.0,0.0
AXON,Axon Enterprise,2026-06,25,11,2,0,1,0.18181818181818182,0.2727272727272727
AXP,American Express,2026-06,25,22,14,1,1,0.6363636363636364,0.7272727272727273
AZO,AutoZone,2026-06,25,0,0,0,0,,
BA,Boeing,2026-06,25,15,6,0,1,0.4,0.4666666666666667
BAC,Bank of America,2026-06,25,7,1,1,0,0.14285714285714285,0.2857142857142857
BALL,Ball Corporation,2026-06,25,2,0,0,0,0.0,0.0
BAX,Baxter International,2026-06,25,7,1,0,1,0.14285714285714285,0.2857142857142857
BBBY,Bed Bath & Beyond,2026-06,25,0,0,0,0,,
BBY,Best Buy,2026-06,25,3,1,0,0,0.3333333333333333,0.3333333333333333
BDX,Becton Dickinson,2026-06,25,13,1,0,0,0.07692307692307693,0.07692307692307693
