company_id,name,slug,sector,website,created_at,n_pages,page_version,page_created_at,maturity_index,maturity_stage,assessed_at,adoption_score,adoption_label,adoption_confidence,adoption_n_evidence,adoption_n_missing_evidence,sub_deploymentBreadth,sub_hiringIntensity,sub_vendorFootprint,sub_governanceSignals,proficiency_score,proficiency_label,proficiency_confidence,proficiency_n_evidence,proficiency_n_missing_evidence,sub_workforceFluency,sub_enablementInfra,sub_leadershipDepth,sub_useSophistication,impact_score,impact_label,impact_confidence,impact_n_evidence,impact_n_missing_evidence,sub_quantifiedOutcomes,sub_financialLinkage,sub_repeatability,evidence_sec,evidence_news,evidence_corporate,evidence_blog,evidence_other,n_ai_apps_used,n_impact_metrics,n_initiatives
2c7142c3-375f-4a8a-b0a6-3052ddc0366b,3M,3m,industrials,https://www.3m.com,2026-01-19T03:56:50.78582+00:00,1,1.0,2026-01-19T05:26:50.388701+00:00,4.0,leader,2026-01-19T00:00:00.000Z,4.0,Scaling,high,1.0,0.0,4.0,3.0,4.0,4.0,4.0,Strategic,high,1.0,0.0,3.0,4.0,4.0,4.0,4.0,Material,high,1.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,5.0
ee03d7bf-0eba-4792-9926-f05b8b4b3dd6,A. O. Smith,a-o-smith,industrials,https://www.aosmith.com,2026-01-19T03:56:51.098381+00:00,1,1.0,2026-01-19T06:15:09.325178+00:00,2.6,explorer,2026-01-19T00:00:00.000Z,3.0,Deploying,medium,2.0,1.0,3.0,2.0,3.0,4.0,3.0,Committed,medium,2.0,1.0,2.0,3.0,4.0,3.0,2.0,Anecdotal,low,1.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,3.0,3.0,4.0
89d3e9cf-d173-4568-9022-d97729b680e5,AES Corporation,aes,utilities,https://www.aes.com,2026-01-19T03:57:25.284103+00:00,1,1.0,2026-01-19T06:19:42.277523+00:00,3.1,practitioner,2026-01-19T00:00:00.000Z,3.0,Deploying,high,2.0,1.0,3.0,2.0,4.0,3.0,2.0,Experimenting,medium,2.0,1.0,2.0,3.0,2.0,3.0,4.0,Material,high,3.0,0.0,4.0,4.0,3.0,0.0,3.0,3.0,0.0,1.0,5.0,5.0,5.0
1fcfcb0e-18f9-4acf-8441-e1e1a4d835f1,AMD,amd,technology,https://www.amd.com,2026-01-18T16:06:13.467445+00:00,4,4.0,2026-01-18T20:49:56.81094+00:00,4.0,leader,2026-01-18T00:00:00.000Z,4.0,Scaling,high,2.0,1.0,4.0,3.0,4.0,4.0,4.0,Strategic,high,2.0,1.0,3.0,4.0,5.0,4.0,4.0,Material,high,2.0,0.0,4.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,3.0,6.0,7.0
7dc4ae61-bcb5-4577-8aa6-d5fc23785ea9,APA Corporation,apa,energy,https://www.apacorp.com,2026-01-19T03:57:19.091253+00:00,1,1.0,2026-01-19T05:47:56.346272+00:00,2.7,explorer,2026-01-19T00:00:00.000Z,3.0,Deploying,high,1.0,1.0,4.0,1.0,4.0,3.0,2.0,Experimenting,medium,1.0,1.0,1.0,2.0,3.0,3.0,3.0,Quantified,high,1.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0
5cd0cbf6-07a8-41dd-af82-969f35b203ea,AT&T,at-t,communication-services,https://www.att.com,2026-01-19T03:57:13.567168+00:00,1,1.0,2026-01-19T05:45:12.029368+00:00,3.7,practitioner,2026-01-19T00:00:00.000Z,4.0,Scaling,high,3.0,1.0,4.0,3.0,4.0,4.0,3.0,Committed,medium,3.0,1.0,2.0,4.0,4.0,4.0,4.0,Material,high,4.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,0.0,0.0,4.0,6.0,6.0
76a5b37c-4924-4d0c-9f29-0ca1f10f0d69,AbbVie,abbvie,healthcare,https://www.abbvie.com,2026-01-18T16:18:06.581281+00:00,3,3.0,2026-01-18T20:53:06.936063+00:00,3.6,practitioner,2026-01-18T00:00:00.000Z,4.0,Scaling,high,2.0,1.0,4.0,4.0,4.0,4.0,4.0,Strategic,high,2.0,1.0,4.0,4.0,4.0,4.0,3.0,Quantified,medium,2.0,2.0,3.0,3.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,5.0
6abebb2d-a379-4252-bd7e-73d0fc962296,Abbott Laboratories,abbott-laboratories,healthcare,https://www.abbott.com,2026-01-19T03:55:46.71034+00:00,1,1.0,2026-01-19T06:07:03.768253+00:00,3.0,practitioner,2026-01-19T06:05:48.000Z,3.0,Deploying,high,2.0,1.0,3.0,2.0,4.0,4.0,3.0,Committed,medium,2.0,1.0,2.0,3.0,4.0,3.0,3.0,Quantified,medium,1.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0
a3964bb1-67c7-4c4d-a888-24f3955c92c8,Accenture,accenture,technology,https://www.accenture.com,2026-01-19T03:55:26.694543+00:00,1,1.0,2026-01-19T08:38:12.011895+00:00,5.0,transformer,2026-01-19T00:00:00.000Z,5.0,AI-First,high,3.0,0.0,5.0,5.0,5.0,5.0,5.0,Visionary,high,3.0,0.0,5.0,5.0,5.0,5.0,5.0,Transformative,high,3.0,0.0,5.0,5.0,5.0,3.0,3.0,2.0,0.0,1.0,5.0,5.0,5.0
e0ef13e3-5f2e-48d4-8ea2-c1d083bfceac,Adobe Inc.,adobe,technology,https://www.adobe.com,2026-01-18T16:05:54.312577+00:00,3,3.0,2026-01-18T20:49:31.694921+00:00,5.0,transformer,2026-01-18T00:00:00.000Z,5.0,AI-First,high,2.0,0.0,5.0,4.0,5.0,5.0,5.0,Visionary,high,2.0,0.0,4.0,5.0,5.0,5.0,5.0,Transformative,high,3.0,0.0,5.0,5.0,5.0,1.0,3.0,3.0,0.0,0.0,4.0,7.0,5.0
dfa11c00-b625-4b80-b59a-8690ff1dcb5c,Advanced Micro Devices,advanced-micro-devices,technology,https://www.amd.com,2026-01-19T03:55:27.547044+00:00,1,1.0,2026-01-19T08:40:45.86355+00:00,4.4,leader,2026-01-19T00:00:00.000Z,4.0,Scaling,high,2.0,0.0,4.0,3.0,5.0,4.0,4.0,Strategic,high,2.0,1.0,3.0,4.0,5.0,4.0,5.0,Transformative,high,2.0,0.0,5.0,5.0,4.0,3.0,0.0,1.0,1.0,1.0,4.0,4.0,6.0
f1908110-b3c4-431f-a194-9944740bf969,Aflac,aflac,financials,https://www.aflac.com,2026-01-19T03:56:03.601878+00:00,1,1.0,2026-01-19T05:02:01.961882+00:00,3.4,practitioner,2026-01-19T00:00:00.000Z,3.0,Deploying,high,2.0,1.0,3.0,2.0,4.0,4.0,3.0,Committed,medium,2.0,1.0,2.0,3.0,4.0,3.0,4.0,Material,high,2.0,0.0,4.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,7.0,7.0
74ca5ddf-399d-4873-8498-20440850e4bd,Agilent Technologies,agilent-technologies,healthcare,https://www.agilent.com,2026-01-19T03:55:47.343103+00:00,1,1.0,2026-01-19T04:53:20.280124+00:00,3.4,practitioner,2026-01-19T00:00:00.000Z,3.0,Deploying,high,2.0,1.0,3.0,2.0,4.0,3.0,3.0,Committed,medium,2.0,1.0,2.0,3.0,4.0,3.0,4.0,Material,high,2.0,0.0,4.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,3.0,3.0,6.0
957a4292-8d06-4e0e-b541-4645a721e84f,Air Products,air-products,materials,https://www.airproducts.com,2026-01-19T03:57:42.366479+00:00,1,1.0,2026-01-19T06:01:43.561995+00:00,3.0,practitioner,2026-01-19T00:00:00.000Z,3.0,Deploying,high,3.0,2.0,3.0,2.0,3.0,3.0,3.0,Committed,medium,2.0,2.0,2.0,3.0,3.0,3.0,3.0,Quantified,high,3.0,1.0,3.0,3.0,3.0,0.0,1.0,5.0,1.0,1.0,3.0,4.0,5.0
c57227ed-f32b-4374-859f-a9e1fbd68edf,Airbnb,airbnb,consumer-discretionary,https://www.airbnb.com,2026-01-19T03:56:25.104069+00:00,1,1.0,2026-01-19T05:13:36.562477+00:00,3.6,practitioner,2026-01-19T00:00:00.000Z,4.0,Scaling,high,2.0,1.0,4.0,3.0,4.0,4.0,4.0,Strategic,high,2.0,1.0,3.0,4.0,5.0,4.0,3.0,Quantified,high,2.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,5.0
b4980b30-962a-462f-9628-633a8947d848,Akamai Technologies,akamai-technologies,technology,https://www.akamai.com,2026-01-19T03:55:27.857062+00:00,1,1.0,2026-01-19T04:42:49.121659+00:00,4.0,leader,2026-01-19T00:00:00.000Z,4.0,Scaling,high,2.0,0.0,4.0,4.0,4.0,4.0,4.0,Strategic,high,2.0,1.0,5.0,3.0,4.0,4.0,4.0,Material,high,2.0,0.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,2.0,3.0,5.0,6.0
03f2417d-afc9-4485-8a00-1b68e84b0aa5,Albemarle Corporation,albemarle,materials,https://www.albemarle.com,2026-01-19T03:57:42.64378+00:00,1,1.0,2026-01-19T06:01:32.794895+00:00,4.4,leader,2026-01-19T00:00:00.000Z,4.0,Scaling,high,2.0,1.0,4.0,2.0,4.0,4.0,4.0,Strategic,high,2.0,1.0,2.0,4.0,4.0,4.0,5.0,Transformative,high,2.0,0.0,5.0,4.0,5.0,0.0,3.0,3.0,0.0,0.0,4.0,6.0,4.0
a1dce802-0793-4955-bc62-b47bebca49d0,Albertsons,albertsons,retail,https://www.albertsonscompanies.com,2026-01-17T19:07:40.445893+00:00,6,6.0,2026-01-18T17:19:14.089989+00:00,4.0,leader,2026-01-18T00:00:00.000Z,4.0,Scaling,high,2.0,1.0,4.0,4.0,4.0,3.0,4.0,Strategic,high,2.0,0.0,4.0,4.0,4.0,4.0,4.0,Material,high,3.0,0.0,4.0,4.0,4.0,0.0,4.0,3.0,0.0,0.0,4.0,5.0,6.0
